accuracy,precision,recall,f1_score,timestamp,model,dataset
0.5,1.0,0.5,0.6667,2026-05-10 05:39:28.722699,Decision Tree,Makkah Pollution 2024
0.878,0.8858,0.878,0.8785,2026-05-23T05:46:15,Decision Tree,Saudi Arabia Air Pollution – 13 Regions
